ID,HP_Power_kW,Heated_Floor_Area,Building_Year,Cluster_Building_Age,Cluster_HP_Size,Cluster_Building_Area,Cluster_HP_Type
sAmtv_79MrE8o8nd8mBLV,4.7,278.3,,unknown,medium,big,unknown
l3Fd_x4aA3Ud4h15xiU2E,,264.5,,unknown,unknown,medium,unknown
6tYGm4s4K_kmQnqk5uuLu,,200.1,,unknown,unknown,medium,unknown
t6WPDvy_pOwcgxjg03eZz,3.0,,,unknown,small,unknown,unknown
rhUT6JSy2E6a7Z2qbKMo6,,152.95,2003.0,young,unknown,small,unknown
9GUpfV9uDXQj_QO4WTKWb,4.0,184.0,2005.0,young,small,small,unknown
TIXL6cB8_RAFYLiYBKDbx,4.0,339.25,2003.0,young,small,big,unknown
y_o7ZzNPqv6Z84zSIhF,5.0,195.5,,unknown,medium,medium,unknown
h0HQ6eg8VW2IK47tkOo9B,3.0,115.0,,unknown,small,small,unknown
fqEr8ZMAuUkTozPPV_Qqn,7.3,,2000.0,young,medium,unknown,ground source
lMwvY2icxkshet6HWaEVg,2.3,,,unknown,small,unknown,unknown
PZbK4efPBN2OrC0tdpmy2,2.3,143.75,1997.0,young,small,small,ground source
vMW5DZXtSHUe45woJWJoV,3.0,,2000.0,young,small,unknown,air source
ZGi8UWMqSy_iJ8lZ7vKJ_,3.0,,2000.0,young,small,unknown,air source
bc7i8nTbM1_9MHagmYXdY,2.7,,,unknown,small,unknown,unknown
fv9IxhHioiYKHCTSEjv8_,2.3,,1959.0,medium,small,unknown,air source
12xtvkQLCk6NOIqyucGzb,6.1,264.5,1997.0,young,medium,medium,air source
JrgqCh9ztYsJ_brO6TM8j,,126.5,1985.0,young,unknown,small,air source
8SsB6crSrEEl,,,,unknown,unknown,unknown,unknown
pxCNEPB1v9El,,,,unknown,unknown,unknown,unknown
7pJsiAsuMMAPX5FjHhU1n,4.8,149.5,1961.0,medium,medium,small,air source
oEp5xeVyRxYU_CTPeT4Jq,7.4,195.5,,unknown,medium,medium,unknown
yyeGshVUdyomwXT_0_WUW,3.5,156.4,1999.0,young,small,small,air source
lxJ3L1UfNu2gRcxS4yteh,1.58,274.85,2006.0,young,small,big,ground source
pmm6QCLL9lUjfkOsNPyC8,3.0,207.0,1998.0,young,small,medium,air source
6yZAWKcywdIMuA4_IqBBr,1.6,128.8,1960.0,medium,small,small,ground source
kWY0N7fq39UHq6_q3YjDp,4.2,,1999.0,young,small,unknown,ground source
9rRiDAyQPHU9PlHyJ_WSQ,3.8,149.5,2008.0,young,small,small,air source
52BW54S_vsYDUH61dglQ5,1.7,243.8,2008.0,young,small,medium,air source
K8XLrv6qdPIARlSLSTt,5.0,195.5,1981.0,young,medium,medium,air source
Wfxt_eG763IVq_Z77UbJC,3.0,230.0,1996.0,young,small,medium,ground source
rkDGyy8ll3Ai3uxynb28h,1.9,241.5,1999.0,young,small,medium,ground source
twTKJQVZDTMZdD11fnJwk,3.6,170.2,1876.0,old,small,small,air source
MAHWTk3kP0YJlNUiZNRVz,,,1997.0,young,unknown,unknown,air source
gIfrG03daeA4yriujnLzC,4.0,242.65,2003.0,young,small,medium,unknown
f16MpI_TAJsHM6bhs1_sd,12.2,264.5,2006.0,young,big,medium,ground source
